attrictions,type,reviews,html
The Pinnacle @ Duxton,Points of Interest & Landmarks,234,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d3512810-Reviews-The_Pinnacle_Duxton-Singapore.html
Red Dot Design Museum,Speciality Museums,218,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d1937005-Reviews-Red_Dot_Design_Museum-Singapore.html
Robertson Quay,Neighbourhoods,216,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d3460002-Reviews-Robertson_Quay-Singapore.html
Bukit Brown Cemetery,Cemeteries,208,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d2547770-Reviews-Bukit_Brown_Cemetery-Singapore.html
Suntec Singapore Convention & Exhibition Centre,Conference & Convention Centres,194,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d1419989-Reviews-Suntec_Singapore_Convention_Exhibition_Centre-Singapore.html
Labrador Nature Reserve,Nature & Wildlife Areas,189,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d2344142-Reviews-Labrador_Nature_Reserve-Singapore.html
Surviving the Japanese Occupation: War and Its Legacies,Military Museums,174,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d1583427-Reviews-Surviving_the_Japanese_Occupation_War_and_Its_Legacies-Singapore.html
Kuan Yin Thong Hood Cho Temple,Visitor Centres,171,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d386878-Reviews-Kuan_Yin_Thong_Hood_Cho_Temple-Singapore.html
Ngee Ann City,Shopping Malls,166,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d2139551-Reviews-Ngee_Ann_City-Singapore.html
Tanah Merah Ferry Terminal,Ferries,165,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d1638636-Reviews-Tanah_Merah_Ferry_Terminal-Singapore.html
Satay street,Sacred & Religious Sites,163,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d9977571-Reviews-Satay_street-Singapore.html
Singapore Cricket Club,Sports Complexes,159,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d591520-Reviews-Singapore_Cricket_Club-Singapore.html
Malay Heritage Centre,History Museums,158,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d1371240-Reviews-Malay_Heritage_Centre-Singapore.html
National Stadium,Architectural Buildings,155,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d2349033-Reviews-National_Stadium-Singapore.html
Parkview Square,Flea & Street Markets,153,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d2341763-Reviews-Parkview_Square-Singapore.html
Bollywood Veggies,Farms,152,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d2344448-Reviews-Bollywood_Veggies-Singapore.html
Marina Bay Cruise Centre,Points of Interest & Landmarks,150,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d6844331-Reviews-Marina_Bay_Cruise_Centre-Singapore.html
Singapore Turf Club,Arenas & Stadiums,141,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d562954-Reviews-Singapore_Turf_Club-Singapore.html
Chinatown Point,Shopping Malls,138,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d8015310-Reviews-Chinatown_Point-Singapore.html
Changi Beach,Historic Sites,136,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d3459679-Reviews-Changi_Beach-Singapore.html
People's Park Complex,Shopping Malls,136,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d8015306-Reviews-People_s_Park_Complex-Singapore.html
Isetan Scotts,Department Stores,134,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d1892450-Reviews-Isetan_Scotts-Singapore.html
Lee Kong Chian Natural History Museum,Natural History Museums,132,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d8015325-Reviews-Lee_Kong_Chian_Natural_History_Museum-Singapore.html
Geylang Serai,Neighbourhoods,125,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d2049172-Reviews-Geylang_Serai-Singapore.html
Pasir Ris Town Park,Nature & Wildlife Areas,121,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d591382-Reviews-Pasir_Ris_Town_Park-Singapore.html
HarbourFront Centre,Shopping Malls,121,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d7797836-Reviews-HarbourFront_Centre-Singapore.html
